Question,Option1,Option2,Option3,Option4,Answer,Difficulty
"What is the integral of \(x^2\)?","\(\frac{x^3}{3}\) + C","\(\frac{x^2}{2}\) + C","\(2x\) + C","\(x^3 + C\)","Option1","Easy"
"What is the derivative of \(x^2\)?","\(2x\)","\(x\)","\(x^2\)","\(2\)","Option1","Easy"
"What is the limit of \(x\) as \(x\) approaches 0 for \(\frac{sin(x)}{x}\)?","0","1","Undefined","Infinity","Option2","Medium"
"What is the integral of \(x^2\)?","\(\frac{x^3}{3}\) + C","\(\frac{x^2}{2}\) + C","\(2x\) + C","\(x^3 + C\)","Option1","Easy"
"What is the derivative of \(x^2\)?","\(\frac{d}{dx}(x^2) = 2x\)","\(x\)","\(x^2\)","\(2\)","Option1","Easy"
"What is the limit of \(x\) as \(x\) approaches 0 for \(\frac{sin(x)}{x}\)?","0","1","Undefined","Infinity","Option2","Medium"
"What is \(e^{i\pi} + 1\)?","0","1","2","Undefined","Option1","Hard"
"What is the value of \(\sqrt{16}\)?","4","8","16","0","Option1","Easy"
"What is the integral of \(x^2\)?","\(\frac{x^3}{3}\) + C","\(\frac{x^2}{2}\) + C","\(2x\) + C","\(x^3 + C\)","Option1","Easy"
"What is the derivative of \(x^2\)?","\(\frac{d}{dx}(x^2) = 2x\)","\(x\)","\(x^2\)","\(2\)","Option1","Easy"
"What is the limit of \(x\) as \(x\) approaches 0 for \(\frac{\sin(x)}{x}\)?","0","1","Undefined","Infinity","Option2","Medium"
"What is \(e^{i\pi} + 1\)?","0","1","2","Undefined","Option1","Hard"
"What is the value of \(\sqrt{16}\)?","4","8","16","0","Option1","Easy"
"What is \(E=mc^2\)?","Energy","Mass","Time","Speed","Energy","Easy"
"What is the integral of \(x^2\)?","\(\frac{x^3}{3}\)","\(x^3\)","\(3x^2\)","\(2x\)","\(\frac{x^3}{3}\)","Medium"
"What is the derivative of \(\sin(x)\)?","\(\cos(x)\)","-\(\cos(x)\)","\(\tan(x)\)","0","\(\cos(x)\)","Easy"
"What is \( \lim_{x \to 0} \frac{\sin(x)}{x} \)?","0","1","Undefined","Infinity","1","Hard"
"What is the area of a circle?","\(\pi r^2\)","\(2\pi r\)","\(r^2\)","None","\(\pi r^2\)","Easy"
"What is \(2 + 2\)?","3","4","5","6","4","Easy"
"What is the Pythagorean theorem?","\(a^2 + b^2 = c^2\)","\(a + b = c\)","\(ab = c\)","None","\(a^2 + b^2 = c^2\)","Medium"
"What is the value of \(\pi\)?","3.14","3.15","3.16","None","3.14","Easy"
"What is the quadratic formula?","-\(b \pm \sqrt{b^2 - 4ac} / 2a\)","None","\(ax^2 + bx + c = 0\)","None","-\(b \pm \sqrt{b^2 - 4ac} / 2a\)","Hard"
"What is the Fibonacci sequence?","1, 1, 2, 3, 5","2, 3, 5, 8","0, 1, 1, 2","None","1, 1, 2, 3, 5","Medium"
Question,Option1,Option2,Option3,Option4,Answer,Difficulty
"What is \(E=mc^2\)?","Energy","Mass","Time","Speed","Energy","Easy"
"What is the integral of \(x^2\)?","\(\frac{x^3}{3}\)","\(x^3\)","\(3x^2\)","\(2x\)","\(\frac{x^3}{3}\)","Medium"
"What is the derivative of \(\sin(x)\)?","\(\cos(x)\)","-\(\cos(x)\)","\(\tan(x)\)","0","\(\cos(x)\)","Easy"
"What is \( \lim_{x \to 0} \frac{\sin(x)}{x} \)?","0","1","Undefined","Infinity","1","Hard"
"What is the area of a circle?","\(\pi r^2\)","\(2\pi r\)","\(r^2\)","None","\(\pi r^2\)","Easy"
"What is \(2 + 2\)?","3","4","5","6","4","Easy"
"What is the Pythagorean theorem?","\(a^2 + b^2 = c^2\)","\(a + b = c\)","\(ab = c\)","None","\(a^2 + b^2 = c^2\)","Medium"
"What is the value of \(\pi\)?","3.14","3.15","3.16","None","3.14","Easy"
"What is the quadratic formula?","-\(b \pm \sqrt{b^2 - 4ac} / 2a\)","None","\(ax^2 + bx + c = 0\)","None","-\(b \pm \sqrt{b^2 - 4ac} / 2a\)","Hard"
"What is the Fibonacci sequence?","1, 1, 2, 3, 5","2, 3, 5, 8","0, 1, 1, 2","None","1, 1, 2, 3, 5","Medium"


